"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 04, 2016","354.50","353.75","355.00","350.75","183.74K","0.14%"
"Apr 05, 2016","356.75","354.50","357.00","353.50","208.62K","0.63%"
"Apr 06, 2016","358.00","356.75","359.00","355.00","174.26K","0.35%"
"Apr 07, 2016","361.50","357.75","362.00","357.50","281.79K","0.98%"
"Apr 08, 2016","362.25","361.50","362.75","359.00","227.92K","0.21%"
"Apr 11, 2016","356.75","362.00","362.25","356.00","249.69K","-1.52%"
"Apr 12, 2016","362.75","357.00","365.50","356.75","341.62K","1.68%"
"Apr 13, 2016","373.50","363.00","374.75","363.00","392.88K","2.96%"
"Apr 14, 2016","374.00","373.00","374.50","369.75","296.75K","0.13%"
"Apr 15, 2016","378.50","373.50","380.50","372.00","295.45K","1.20%"
"Apr 18, 2016","381.00","375.25","384.00","375.00","222.14K","0.66%"
"Apr 19, 2016","384.50","380.00","386.00","380.00","280.51K","0.92%"
"Apr 20, 2016","394.75","384.50","395.50","383.25","217.78K","2.67%"
"Apr 21, 2016","384.50","394.00","402.00","383.25","191.43K","-2.60%"
"Apr 22, 2016","371.75","384.25","384.25","370.50","174.98K","-3.32%"
"Apr 25, 2016","377.00","371.25","385.00","368.50","123.10K","1.41%"
"Apr 26, 2016","382.25","377.25","383.00","374.00","110.84K","1.39%"
"Apr 27, 2016","380.75","382.00","382.75","377.00","89.20K","-0.39%"
"Apr 28, 2016","387.00","379.75","390.75","378.50","74.35K","1.64%"
"Apr 29, 2016","390.25","387.00","392.00","385.00","20.11K","0.84%"
"May 02, 2016","390.25","388.75","391.00","383.50","8.37K","0.00%"
"May 03, 2016","378.25","390.25","393.50","375.75","5.54K","-3.07%"
"May 04, 2016","373.25","376.50","377.75","372.50","10.04K","-1.32%"
"May 05, 2016","371.75","374.50","376.75","368.50","2.45K","-0.40%"
"May 06, 2016","376.00","372.25","377.50","372.25","1.55K","1.14%"
"May 09, 2016","367.75","379.50","379.50","367.00","1.04K","-2.19%"
"May 10, 2016","378.50","367.75","383.00","367.00","0.84K","2.92%"
"May 11, 2016","374.00","378.50","381.00","371.75","1.09K","-1.19%"
"May 12, 2016","385.25","374.75","386.00","374.50","0.79K","3.01%"
"May 13, 2016","382.00","380.25","385.50","380.25","0.29K","-0.84%"
"May 16, 2016","394.00","390.25","394.25","386.25","161.78K","3.14%"
"May 17, 2016","397.00","392.50","398.00","391.75","193.69K","0.76%"
"May 18, 2016","399.50","397.00","400.50","394.00","184.09K","0.63%"
"May 19, 2016","390.00","397.50","397.75","385.50","229.12K","-2.38%"
"May 20, 2016","394.50","390.00","396.75","389.00","177.95K","1.15%"
"May 23, 2016","397.75","394.00","399.25","391.00","156.43K","0.82%"
"May 24, 2016","397.50","397.25","403.25","394.50","160.51K","-0.06%"
"May 25, 2016","404.75","396.50","405.00","395.75","170.81K","1.82%"
"May 26, 2016","408.25","404.00","409.25","400.00","223.71K","0.86%"
"May 27, 2016","412.75","408.00","413.50","406.50","174.31K","1.10%"
"May 31, 2016","404.75","412.50","413.00","404.00","205.69K","-1.94%"
"Jun 01, 2016","413.75","404.25","414.00","401.00","213.03K","2.22%"
"Jun 02, 2016","415.25","413.75","419.50","412.50","223.63K","0.36%"
"Jun 03, 2016","418.25","414.00","419.25","410.50","183.28K","0.72%"
"Jun 06, 2016","427.25","419.75","427.50","419.25","223.12K","2.15%"
"Jun 07, 2016","427.75","426.25","428.00","422.50","273.08K","0.12%"
"Jun 08, 2016","431.25","427.25","439.25","426.50","342.76K","0.82%"
"Jun 09, 2016","426.50","430.25","430.25","423.25","262.53K","-1.10%"
"Jun 10, 2016","423.00","426.50","437.00","420.00","291.07K","-0.82%"
"Jun 13, 2016","430.00","427.50","438.00","427.50","304.09K","1.65%"
"Jun 14, 2016","436.50","429.50","436.75","423.50","236.33K","1.51%"
"Jun 15, 2016","429.00","435.75","439.00","428.50","186.44K","-1.72%"
"Jun 16, 2016","425.25","426.25","429.75","420.50","196.40K","-0.87%"
"Jun 17, 2016","437.75","425.00","438.25","423.50","179.12K","2.94%"
"Jun 20, 2016","421.25","435.50","435.75","420.50","204.94K","-3.77%"
"Jun 21, 2016","396.25","420.50","422.25","396.25","292.42K","-5.93%"
"Jun 22, 2016","393.00","396.50","401.00","392.25","211.88K","-0.82%"
"Jun 23, 2016","387.25","392.00","392.75","384.00","164.76K","-1.46%"
"Jun 24, 2016","384.50","387.50","390.00","373.50","180.56K","-0.71%"
"Jun 27, 2016","385.25","384.25","392.00","383.00","123.57K","0.20%"
"Jun 28, 2016","385.25","383.00","398.25","382.50","121.38K","0.00%"
"Jun 29, 2016","372.75","385.50","387.25","372.25","99.43K","-3.24%"
"Jun 30, 2016","358.75","375.00","377.50","355.75","37.49K","-3.76%"
"Jul 01, 2016","353.00","360.75","362.25","351.75","6.93K","-1.60%"
"Jul 05, 2016","344.00","348.00","350.50","333.75","4.79K","-2.55%"
"Jul 06, 2016","335.75","344.75","346.50","333.00","4.29K","-2.40%"
"Jul 07, 2016","335.50","338.50","348.00","334.50","2.55K","-0.07%"
"Jul 08, 2016","349.75","337.25","349.00","336.75","1.16K","4.25%"
"Jul 11, 2016","343.75","354.25","354.75","341.75","1.16K","-1.72%"
"Jul 12, 2016","349.75","343.00","350.25","339.75","0.39K","1.75%"
"Jul 13, 2016","365.75","353.00","372.75","348.50","0.67K","4.57%"
"Jul 14, 2016","362.25","369.50","374.50","360.00","0.23K","-0.96%"
"Jul 15, 2016","352.25","356.50","361.00","343.00","104.62K","-2.76%"
"Jul 18, 2016","357.00","352.25","357.50","348.25","84.62K","1.35%"
